,Python Version,Released Date
0,Python 1.0,January 1994
1,Python 1.5,"December 31, 1997"
2,Python 1.6,"September 5, 2000"
3,Python 2.0,"October 16, 2000"
4,Python 2.1,"April 17, 2001"
5,Python 2.2,"December 21, 2001"
6,Python 2.3,"July 29, 2003"
7,Python 2.4,"November 30, 2004"
8,Python 2.5,"September 19, 2006"
9,Python 2.6,"October 1, 2008"
10,Python 2.7,"July 3, 2010"
11,Python 3.0,"December 3, 2008"
12,Python 3.1,"June 27, 2009"
13,Python 3.2,"February 20, 2011"
14,Python 3.3,"September 29, 2012"
15,Python 3.4,"March 16, 2014"
16,Python 3.5,"September 13, 2015"
17,Python 3.6,"December 23, 2016"
18,Python 3.7,"June 27, 2018"
19,Python 3.8,"October 14, 2019"
